Selected profile file,Bill Name,Personal Prediction,Real Result,Bill Number
Abigail Spanberger_profile.json,"To award four congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Support,Support,H.R. 3325 (117th)
Abigail Spanberger_profile.json,MST Claims Coordination Act,Support,Support,H.R. 7335 (117th)
Abigail Spanberger_profile.json,VA Peer Support Enhancement for MST Survivors Act,Support,Support,H.R. 2724 (117th)
Abigail Spanberger_profile.json,Department of Energy Science for the Future Act,Support,Support,H.R. 3593 (117th)
Abigail Spanberger_profile.json,National Science Foundation for the Future Act,Support,Support,H.R. 2225 (117th)
Abigail Spanberger_profile.json,Trans-Sahara Counterterrorism Partnership Program Act of 2021,Support,Support,H.R. 567 (117th)
Abigail Spanberger_profile.json,Inspector General Independence and Empowerment Act of 2021,Support,Support,H.R. 2662 (117th)
Abigail Spanberger_profile.json,"Consolidated Appropriations Act, 2024",Oppose,Oppose,H.R. 4366
Abigail Spanberger_profile.json,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.",Support,Support,H.R. 1664 (117th)
Abigail Spanberger_profile.json,Industrial Control Systems Cybersecurity Training Act,Support,Support,H.R. 7777 (117th)
Abigail Spanberger_profile.json,Protecting Hunting Heritage and Education Act,Support,Support,H.R. 5110
Abigail Spanberger_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Support,Support,H.R. 4346
Abigail Spanberger_profile.json,"Further Additional Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 4373 (117th)
Abigail Spanberger_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Abigail Spanberger_profile.json,First Responder Fair RETIRE Act,Support,Support,H.R. 521 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the \u201cThelma Harper Post Office Building\u201d.",Support,Support,H.R. 5271 (117th)
Abigail Spanberger_profile.json,"To designate the September 11th National Memorial Trail Route, and for other purposes.",Support,Support,H.R. 2278 (117th)
Abigail Spanberger_profile.json,Amache National Historic Site Act,Support,Support,H.R. 2497 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building.",Support,Support,H.R. 203 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",Support,Support,H.R. 5659 (117th)
Abigail Spanberger_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",Support,Support,H.R. 4665
Abigail Spanberger_profile.json,"Department of Homeland Security Appropriations Act, 2024",Support,Support,H.R. 4367
Abigail Spanberger_profile.json,"Department of Defense Appropriations Act, 2024",Oppose,Support,H.R. 4365
Abigail Spanberger_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4368
Abigail Spanberger_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",Oppose,Oppose,H.R. 5860
Abigail Spanberger_profile.json,War Crimes Rewards Expansion Act,Support,Support,H.R. 4250 (117th)
Abigail Spanberger_profile.json,Federal Rotational Cyber Workforce Program Act of 2021,Support,Support,H.R. 3599 (117th)
Abigail Spanberger_profile.json,Great Dismal Swamp National Heritage Area Act,Support,Support,H.R. 1154 (117th)
Abigail Spanberger_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Support,Support,H.R. 4346
Abigail Spanberger_profile.json,Big Cat Public Safety Act,Support,Support,H.R. 263 (117th)
Abigail Spanberger_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4394
Abigail Spanberger_profile.json,"Legislative Branch Appropriations Act, 2024",Support,Support,H.R. 4364
Abigail Spanberger_profile.json,Drug-Free Communities Pandemic Relief Act,Support,Support,H.R. 654 (117th)
Abigail Spanberger_profile.json,National Aviation Preparedness Plan Act of 2022,Support,Support,H.R. 884 (117th)
Abigail Spanberger_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4821
Abigail Spanberger_profile.json,Catawba Indian Nation Lands Act,Support,Support,H.R. 1619 (117th)
Abigail Spanberger_profile.json,Old Pascua Community Land Acquisition Act,Support,Support,H.R. 4881 (117th)
Abigail Spanberger_profile.json,Bear River National Heritage Area Study Act,Support,Support,H.R. 3616 (117th)
Abigail Spanberger_profile.json,"Further Consolidated Appropriations Act, 2024",Support,Oppose,H.R. 2882
Abigail Spanberger_profile.json,NOTAM Improvement Act of 2023,Support,Support,H.R. 3462 (117th)
Abigail Spanberger_profile.json,NOTAM Improvement Act of 2023,Support,Support,H.R. 3462 (117th)
Abigail Spanberger_profile.json,Merger Filing Fee Modernization Act of 2022,Support,Support,H.R. 3843 (117th)
Abigail Spanberger_profile.json,Visit America Act,Support,Support,H.R. 6965 (117th)
Abigail Spanberger_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Support,Support,H.R. 6833 (117th)
Abigail Spanberger_profile.json,Hazard Eligibility and Local Projects Act,Support,Support,H.R. 1917 (117th)
Abigail Spanberger_profile.json,"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",Support,Support,H.R. 390 (117th)
Abigail Spanberger_profile.json,Advanced Air Mobility Coordination and Leadership Act,Support,Support,H.R. 1339 (117th)
Abigail Spanberger_profile.json,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.",Support,Support,H.R. 2220 (117th)
Abigail Spanberger_profile.json,Department of Veterans Affairs Information Technology Reform Act of 2021,Support,Support,H.R. 2250 (117th)
Abigail Spanberger_profile.json,Lymphedema Treatment Act,Support,Support,H.R. 3630 (117th)
Abigail Spanberger_profile.json,Pala Band of Mission Indians Land Transfer Act of 2023,Support,Support,H.R. 4233
Abigail Spanberger_profile.json,TRANSLATE ACT,Support,Support,H.R. 5574 (117th)
Abigail Spanberger_profile.json,Airport and Airway Extension Act of 2024,Support,Support,H.R. 7454
Abigail Spanberger_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",Support,Oppose,H.R. 6363
Abigail Spanberger_profile.json,Safeguard Tribal Objects of Patrimony Act of 2021,Support,Support,H.R. 2930 (117th)
Abigail Spanberger_profile.json,Accelerating Access to Critical Therapies for ALS Act,Support,Support,H.R. 3537 (117th)
Abigail Spanberger_profile.json,Dr. Lorna Breen Health Care Provider Protection Act,Support,Support,H.R. 1667 (117th)
Abigail Spanberger_profile.json,Agua Caliente Land Exchange Fee to Trust Confirmation Act,Support,Support,H.R. 897 (117th)
Abigail Spanberger_profile.json,Women Who Worked on the Home Front World War II Memorial Act,Support,Support,H.R. 3531 (117th)
Abigail Spanberger_profile.json,5G SALE Act,Support,Support,H.R. 5677 (117th)
Abigail Spanberger_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 1437 (117th)
Abigail Spanberger_profile.json,"Airport and Airway Extension Act of 2023, Part II",Support,Support,H.R. 6503
Abigail Spanberger_profile.json,Hazard Eligibility and Local Projects Act,Support,Support,H.R. 1917 (117th)
Abigail Spanberger_profile.json,National Defense Authorization Act for Fiscal Year 2024,Oppose,Oppose,H.R. 2670
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the \u201cCW4 Christian J. Koch Memorial Post Office\u201d.",Support,Support,H.R. 3508 (117th)
Adam Schiff_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Adam Schiff_profile.json,Cybersecurity Grants for Schools Act of 2022,Support,Support,H.R. 6868 (117th)
Adam Schiff_profile.json,Veterans Eligible to Transfer School (VETS) Credit Act,Support,Support,H.R. 6604 (117th)
Adam Schiff_profile.json,National Defense Authorization Act for Fiscal Year 2024,Support,Oppose,H.R. 2670
Adam Schiff_profile.json,"To award four congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Support,Support,H.R. 3325 (117th)
Adam Schiff_profile.json,MST Claims Coordination Act,Support,Support,H.R. 7335 (117th)
Adam Schiff_profile.json,VA Peer Support Enhancement for MST Survivors Act,Support,Support,H.R. 2724 (117th)
Adam Schiff_profile.json,Department of Energy Science for the Future Act,Support,Support,H.R. 3593 (117th)
Adam Schiff_profile.json,National Science Foundation for the Future Act,Support,Support,H.R. 2225 (117th)
Adam Schiff_profile.json,Trans-Sahara Counterterrorism Partnership Program Act of 2021,Support,Support,H.R. 567 (117th)
Adam Schiff_profile.json,Inspector General Independence and Empowerment Act of 2021,Support,Support,H.R. 2662 (117th)
Adam Schiff_profile.json,"Consolidated Appropriations Act, 2024",Support,Oppose,H.R. 4366
Adam Schiff_profile.json,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.",Support,Support,H.R. 1664 (117th)
Adam Schiff_profile.json,Industrial Control Systems Cybersecurity Training Act,Support,Support,H.R. 7777 (117th)
Adam Schiff_profile.json,Protecting Hunting Heritage and Education Act,Support,Support,H.R. 5110
Adam Schiff_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Support,Support,H.R. 4346
Adam Schiff_profile.json,"Further Additional Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 4373 (117th)
Adam Schiff_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Adam Schiff_profile.json,First Responder Fair RETIRE Act,Support,Support,H.R. 521 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the \u201cThelma Harper Post Office Building\u201d.",Support,Support,H.R. 5271 (117th)
Adam Schiff_profile.json,"To designate the September 11th National Memorial Trail Route, and for other purposes.",Support,Support,H.R. 2278 (117th)
Adam Schiff_profile.json,Amache National Historic Site Act,Support,Support,H.R. 2497 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building.",Support,Support,H.R. 203 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",Support,Support,H.R. 5659 (117th)
Adam Schiff_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",Support,Support,H.R. 4665
Adam Schiff_profile.json,"Department of Homeland Security Appropriations Act, 2024",Support,Support,H.R. 4367
Adam Schiff_profile.json,"Department of Defense Appropriations Act, 2024",Support,Support,H.R. 4365
Adam Schiff_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4368
Adam Schiff_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",Support,Oppose,H.R. 5860
Adam Schiff_profile.json,War Crimes Rewards Expansion Act,Support,Support,H.R. 4250 (117th)
Adam Schiff_profile.json,Federal Rotational Cyber Workforce Program Act of 2021,Support,Support,H.R. 3599 (117th)
Adam Schiff_profile.json,Great Dismal Swamp National Heritage Area Act,Support,Support,H.R. 1154 (117th)
Adam Schiff_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Support,Support,H.R. 4346
Adam Schiff_profile.json,Big Cat Public Safety Act,Support,Support,H.R. 263 (117th)
Adam Schiff_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4394
Adam Schiff_profile.json,"Legislative Branch Appropriations Act, 2024",Support,Support,H.R. 4364
Adam Schiff_profile.json,Drug-Free Communities Pandemic Relief Act,Support,Support,H.R. 654 (117th)
Adam Schiff_profile.json,National Aviation Preparedness Plan Act of 2022,Support,Support,H.R. 884 (117th)
Adam Schiff_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4821
Adam Schiff_profile.json,Catawba Indian Nation Lands Act,Support,Support,H.R. 1619 (117th)
Adam Schiff_profile.json,Old Pascua Community Land Acquisition Act,Support,Support,H.R. 4881 (117th)
Adam Schiff_profile.json,Bear River National Heritage Area Study Act,Support,Support,H.R. 3616 (117th)
Adam Schiff_profile.json,"Further Consolidated Appropriations Act, 2024",Support,Oppose,H.R. 2882
Adam Schiff_profile.json,NOTAM Improvement Act of 2023,Support,Support,H.R. 3462 (117th)
Adam Schiff_profile.json,NOTAM Improvement Act of 2023,Support,Support,H.R. 3462 (117th)
Adam Schiff_profile.json,Merger Filing Fee Modernization Act of 2022,Support,Support,H.R. 3843 (117th)
Adam Schiff_profile.json,Visit America Act,Support,Support,H.R. 6965 (117th)
Adam Schiff_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Support,Support,H.R. 6833 (117th)
Adam Schiff_profile.json,Hazard Eligibility and Local Projects Act,Support,Support,H.R. 1917 (117th)
Adam Schiff_profile.json,"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",Support,Support,H.R. 390 (117th)
Adam Schiff_profile.json,Advanced Air Mobility Coordination and Leadership Act,Support,Support,H.R. 1339 (117th)
Adam Schiff_profile.json,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.",Support,Support,H.R. 2220 (117th)
Adam Schiff_profile.json,Department of Veterans Affairs Information Technology Reform Act of 2021,Support,Support,H.R. 2250 (117th)
Adam Schiff_profile.json,Lymphedema Treatment Act,Support,Support,H.R. 3630 (117th)
Adam Schiff_profile.json,Pala Band of Mission Indians Land Transfer Act of 2023,Support,Support,H.R. 4233
Adam Schiff_profile.json,TRANSLATE ACT,Support,Support,H.R. 5574 (117th)
Adam Schiff_profile.json,Airport and Airway Extension Act of 2024,Support,Support,H.R. 7454
Adam Schiff_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",Support,Oppose,H.R. 6363
Adam Schiff_profile.json,Safeguard Tribal Objects of Patrimony Act of 2021,Support,Support,H.R. 2930 (117th)
Adam Schiff_profile.json,Accelerating Access to Critical Therapies for ALS Act,Support,Support,H.R. 3537 (117th)
Adam Schiff_profile.json,Dr. Lorna Breen Health Care Provider Protection Act,Support,Support,H.R. 1667 (117th)
Adam Schiff_profile.json,Agua Caliente Land Exchange Fee to Trust Confirmation Act,Support,Support,H.R. 897 (117th)
Adam Schiff_profile.json,Women Who Worked on the Home Front World War II Memorial Act,Support,Support,H.R. 3531 (117th)
Adam Schiff_profile.json,5G SALE Act,Support,Support,H.R. 5677 (117th)
Adam Schiff_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 1437 (117th)
Adam Schiff_profile.json,"Airport and Airway Extension Act of 2023, Part II",Support,Support,H.R. 6503
Adam Schiff_profile.json,Hazard Eligibility and Local Projects Act,Support,Support,H.R. 1917 (117th)
Adam Schiff_profile.json,National Defense Authorization Act for Fiscal Year 2024,Oppose,Oppose,H.R. 2670
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the \u201cCW4 Christian J. Koch Memorial Post Office\u201d.",Support,Support,H.R. 3508 (117th)
Adrian Smith_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Adrian Smith_profile.json,Cybersecurity Grants for Schools Act of 2022,Support,Support,H.R. 6868 (117th)
Adrian Smith_profile.json,Veterans Eligible to Transfer School (VETS) Credit Act,Support,Support,H.R. 6604 (117th)
Adrian Smith_profile.json,National Defense Authorization Act for Fiscal Year 2024,Oppose,Oppose,H.R. 2670
Adrian Smith_profile.json,"To award four congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Support,Support,H.R. 3325 (117th)
Adrian Smith_profile.json,MST Claims Coordination Act,Support,Support,H.R. 7335 (117th)
Adrian Smith_profile.json,VA Peer Support Enhancement for MST Survivors Act,Support,Support,H.R. 2724 (117th)
Adrian Smith_profile.json,Department of Energy Science for the Future Act,Support,Support,H.R. 3593 (117th)
Adrian Smith_profile.json,National Science Foundation for the Future Act,Support,Support,H.R. 2225 (117th)
Adrian Smith_profile.json,Trans-Sahara Counterterrorism Partnership Program Act of 2021,Support,Support,H.R. 567 (117th)
Adrian Smith_profile.json,Inspector General Independence and Empowerment Act of 2021,Support,Support,H.R. 2662 (117th)
Adrian Smith_profile.json,"Consolidated Appropriations Act, 2024",Oppose,Oppose,H.R. 4366
Adrian Smith_profile.json,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.",Support,Support,H.R. 1664 (117th)
Adrian Smith_profile.json,Industrial Control Systems Cybersecurity Training Act,Support,Support,H.R. 7777 (117th)
Adrian Smith_profile.json,Protecting Hunting Heritage and Education Act,Support,Support,H.R. 5110
Adrian Smith_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Support,Support,H.R. 4346
Adrian Smith_profile.json,"Further Additional Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 4373 (117th)
Adrian Smith_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Adrian Smith_profile.json,First Responder Fair RETIRE Act,Support,Support,H.R. 521 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the \u201cThelma Harper Post Office Building\u201d.",Support,Support,H.R. 5271 (117th)
Adrian Smith_profile.json,"To designate the September 11th National Memorial Trail Route, and for other purposes.",Support,Support,H.R. 2278 (117th)
Adrian Smith_profile.json,Amache National Historic Site Act,Support,Support,H.R. 2497 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building.",Support,Support,H.R. 203 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",Support,Support,H.R. 5659 (117th)
Adrian Smith_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",Support,Support,H.R. 4665
Adrian Smith_profile.json,"Department of Homeland Security Appropriations Act, 2024",Support,Support,H.R. 4367
Adrian Smith_profile.json,"Department of Defense Appropriations Act, 2024",Support,Support,H.R. 4365
Adrian Smith_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4368
Adrian Smith_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",Oppose,Oppose,H.R. 5860
Adrian Smith_profile.json,War Crimes Rewards Expansion Act,Support,Support,H.R. 4250 (117th)
Adrian Smith_profile.json,Federal Rotational Cyber Workforce Program Act of 2021,Support,Support,H.R. 3599 (117th)
Adrian Smith_profile.json,Great Dismal Swamp National Heritage Area Act,Support,Support,H.R. 1154 (117th)
Adrian Smith_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Oppose,Support,H.R. 4346
Adrian Smith_profile.json,Big Cat Public Safety Act,Support,Support,H.R. 263 (117th)
Adrian Smith_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4394
Adrian Smith_profile.json,"Legislative Branch Appropriations Act, 2024",Support,Support,H.R. 4364
Adrian Smith_profile.json,Drug-Free Communities Pandemic Relief Act,Support,Support,H.R. 654 (117th)
Adrian Smith_profile.json,National Aviation Preparedness Plan Act of 2022,Support,Support,H.R. 884 (117th)
Adrian Smith_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4821
Adrian Smith_profile.json,Catawba Indian Nation Lands Act,Support,Support,H.R. 1619 (117th)
Adrian Smith_profile.json,Old Pascua Community Land Acquisition Act,Oppose,Support,H.R. 4881 (117th)
Adrian Smith_profile.json,Bear River National Heritage Area Study Act,Support,Support,H.R. 3616 (117th)
Adrian Smith_profile.json,"Further Consolidated Appropriations Act, 2024",Oppose,Oppose,H.R. 2882
Adrian Smith_profile.json,NOTAM Improvement Act of 2023,Support,Support,H.R. 3462 (117th)
Adrian Smith_profile.json,NOTAM Improvement Act of 2023,Support,Support,H.R. 3462 (117th)
Adrian Smith_profile.json,Merger Filing Fee Modernization Act of 2022,Support,Support,H.R. 3843 (117th)
Adrian Smith_profile.json,Visit America Act,Support,Support,H.R. 6965 (117th)
Adrian Smith_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Support,Support,H.R. 6833 (117th)
Adrian Smith_profile.json,Hazard Eligibility and Local Projects Act,Support,Support,H.R. 1917 (117th)
Adrian Smith_profile.json,"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",Support,Support,H.R. 390 (117th)
Adrian Smith_profile.json,Advanced Air Mobility Coordination and Leadership Act,Support,Support,H.R. 1339 (117th)
Adrian Smith_profile.json,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.",Support,Support,H.R. 2220 (117th)
Adrian Smith_profile.json,Department of Veterans Affairs Information Technology Reform Act of 2021,Support,Support,H.R. 2250 (117th)
Adrian Smith_profile.json,Lymphedema Treatment Act,Support,Support,H.R. 3630 (117th)
Adrian Smith_profile.json,Pala Band of Mission Indians Land Transfer Act of 2023,Support,Support,H.R. 4233
Adrian Smith_profile.json,TRANSLATE ACT,Support,Support,H.R. 5574 (117th)
Adrian Smith_profile.json,Airport and Airway Extension Act of 2024,Support,Support,H.R. 7454
Adrian Smith_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",Support,Oppose,H.R. 6363
Adrian Smith_profile.json,Safeguard Tribal Objects of Patrimony Act of 2021,Support,Support,H.R. 2930 (117th)
Adrian Smith_profile.json,Accelerating Access to Critical Therapies for ALS Act,Support,Support,H.R. 3537 (117th)
Adrian Smith_profile.json,Dr. Lorna Breen Health Care Provider Protection Act,Support,Support,H.R. 1667 (117th)
Adrian Smith_profile.json,Agua Caliente Land Exchange Fee to Trust Confirmation Act,Support,Support,H.R. 897 (117th)
Adrian Smith_profile.json,Women Who Worked on the Home Front World War II Memorial Act,Support,Support,H.R. 3531 (117th)
Adrian Smith_profile.json,5G SALE Act,Support,Support,H.R. 5677 (117th)
Adrian Smith_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 1437 (117th)
Adrian Smith_profile.json,"Airport and Airway Extension Act of 2023, Part II",Support,Support,H.R. 6503
Adrian Smith_profile.json,Hazard Eligibility and Local Projects Act,Support,Support,H.R. 1917 (117th)
Adrian Smith_profile.json,National Defense Authorization Act for Fiscal Year 2024,Support,Oppose,H.R. 2670
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the \u201cCW4 Christian J. Koch Memorial Post Office\u201d.",Support,Support,H.R. 3508 (117th)
Adriano Espaillat_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Adriano Espaillat_profile.json,Cybersecurity Grants for Schools Act of 2022,Support,Support,H.R. 6868 (117th)
Adriano Espaillat_profile.json,Veterans Eligible to Transfer School (VETS) Credit Act,Support,Support,H.R. 6604 (117th)
Adriano Espaillat_profile.json,National Defense Authorization Act for Fiscal Year 2024,Oppose,Oppose,H.R. 2670
Adriano Espaillat_profile.json,"To award four congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Support,Support,H.R. 3325 (117th)
Adriano Espaillat_profile.json,MST Claims Coordination Act,Support,Support,H.R. 7335 (117th)
Adriano Espaillat_profile.json,VA Peer Support Enhancement for MST Survivors Act,Support,Support,H.R. 2724 (117th)
Adriano Espaillat_profile.json,Department of Energy Science for the Future Act,Support,Support,H.R. 3593 (117th)
Adriano Espaillat_profile.json,National Science Foundation for the Future Act,Support,Support,H.R. 2225 (117th)
Adriano Espaillat_profile.json,Trans-Sahara Counterterrorism Partnership Program Act of 2021,Support,Support,H.R. 567 (117th)
Adriano Espaillat_profile.json,Inspector General Independence and Empowerment Act of 2021,Support,Support,H.R. 2662 (117th)
Adriano Espaillat_profile.json,"Consolidated Appropriations Act, 2024",Support,Oppose,H.R. 4366
Adriano Espaillat_profile.json,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.",Support,Support,H.R. 1664 (117th)
Adriano Espaillat_profile.json,Industrial Control Systems Cybersecurity Training Act,Support,Support,H.R. 7777 (117th)
Adriano Espaillat_profile.json,Protecting Hunting Heritage and Education Act,Support,Support,H.R. 5110
Adriano Espaillat_profile.json,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",Support,Support,H.R. 4346
Adriano Espaillat_profile.json,"Further Additional Continuing Appropriations and Extensions Act, 2023",Support,Support,H.R. 4373 (117th)
Adriano Espaillat_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Adriano Espaillat_profile.json,First Responder Fair RETIRE Act,Support,Support,H.R. 521 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the \u201cThelma Harper Post Office Building\u201d.",Support,Support,H.R. 5271 (117th)
