Profile Name,Bill Number,Bill Name,Prediction Attempt,Personal Prediction,Real Result
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,1,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,2,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,3,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,4,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,5,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,6,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,7,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,8,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,9,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,10,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,11,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,12,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,13,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,14,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,15,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,16,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,17,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,18,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,19,Yea,Yea
Brad Wenstrup_profile.json,H.R. 3843 (117th),Merger Filing Fee Modernization Act of 2022,20,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",1,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",2,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",3,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",4,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",5,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",6,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",7,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",8,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",9,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",10,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",11,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",12,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",13,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",14,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",15,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",16,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",17,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",18,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",19,Yea,Yea
Judy Chu_profile.json,H.R. 390 (117th),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the \u201cOdell Horton Federal Building\u201d.",20,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",1,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",2,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",3,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",4,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",5,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",6,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",7,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",8,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",9,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",10,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",11,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",12,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",13,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",14,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",15,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",16,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",17,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",18,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",19,Yea,Yea
Gus Bilirakis_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",20,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,1,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,2,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,3,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,4,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,5,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,6,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,7,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,8,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,9,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,10,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,11,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,12,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,13,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,14,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,15,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,16,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,17,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,18,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,19,Yea,Yea
Mark Pocan_profile.json,H.R. 567 (117th),Trans-Sahara Counterterrorism Partnership Program Act of 2021,20,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,1,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,2,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,3,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,4,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,5,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,6,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,7,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,8,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,9,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,10,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,11,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,12,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,13,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,14,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,15,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,16,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,17,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,18,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,19,Yea,Yea
Brian Mast_profile.json,H.R. 2724 (117th),VA Peer Support Enhancement for MST Survivors Act,20,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,1,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,2,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,3,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,4,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,5,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,6,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,7,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,8,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,9,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,10,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,11,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,12,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,13,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,14,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,15,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,16,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,17,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,18,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,19,Yea,Yea
Raul Ruiz_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,20,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",1,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",2,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",3,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",4,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",5,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",6,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",7,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",8,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",9,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",10,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",11,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",12,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",13,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",14,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",15,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",16,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",17,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",18,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",19,Yea,Yea
Shontel Brown_profile.json,H.R. 935 (117th),"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",20,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,1,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,2,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,3,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,4,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,5,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,6,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,7,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,8,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,9,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,10,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,11,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,12,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,13,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,14,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,15,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,16,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,17,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,18,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,19,Yea,Yea
Nydia Velázquez_profile.json,H.R. 3630 (117th),Lymphedema Treatment Act,20,Yea,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",1,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",2,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",3,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",4,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",5,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",6,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",7,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",8,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",9,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",10,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",11,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",12,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",13,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",14,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",15,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",16,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",17,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",18,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",19,Nay,Yea
Mark Takano_profile.json,H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",20,Nay,Yea
Kelly Armstrong_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,1,Yea,Yea
Kelly Armstrong_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,2,Yea,Yea
Kelly Armstrong_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,3,Yea,Yea
