Profile Name,Bill Number,Bill Name,Prediction Attempt,Personal Prediction,Real Result
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,3,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,4,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,5,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,6,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,7,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,8,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,9,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,10,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,11,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,12,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,13,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,14,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,15,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,16,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,17,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,18,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,19,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,20,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,1,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,2,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,3,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,4,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,5,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,6,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,7,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,8,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,9,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,10,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,11,Nay,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,12,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,13,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,14,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,15,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,16,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,17,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,18,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,19,Yea,Yea
Mike Garcia_profile.json,H.R. 2662 (117th),Inspector General Independence and Empowerment Act of 2021,20,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",1,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",2,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",3,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",4,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",5,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",6,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",7,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",8,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",9,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",10,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",11,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",12,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",13,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",14,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",15,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",16,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",17,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",18,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",19,Yea,Yea
Steve Chabot_profile.json,H.R. 5900 (117th),"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",20,Yea,Yea
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,1,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,2,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,3,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,4,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,5,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,6,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,7,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,8,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,9,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,10,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,11,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,12,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,13,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,14,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,15,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,16,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,17,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,18,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,19,Nay,Nay
Ryan Zinke_profile.json,H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,20,Nay,Nay
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,1,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,2,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,3,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,4,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,5,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,6,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,7,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,8,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,9,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,10,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,11,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,12,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,13,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,14,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,15,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,16,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,17,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,18,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,19,Yea,Yea
Kay Granger_profile.json,H.R. 3531 (117th),Women Who Worked on the Home Front World War II Memorial Act,20,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",1,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",2,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",3,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",4,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",5,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",6,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",7,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",8,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",9,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",10,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",11,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",12,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",13,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",14,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",15,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",16,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",17,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",18,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",19,Yea,Yea
Jamie Raskin_profile.json,H.R. 4346,"CHIPS Act of 2022 / Research and Development, Competition, and Innovation Act / Supreme Court Security Funding Act of 2022",20,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",1,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",2,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",3,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",4,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",5,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",6,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",7,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",8,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",9,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",10,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",11,Nay,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",12,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",13,Nay,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",14,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",15,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",16,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",17,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",18,Nay,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",19,Yea,Yea
Randy Feenstra_profile.json,H.R. 1437 (117th),"Further Continuing Appropriations and Extensions Act, 2023",20,Yea,Yea
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",1,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",2,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",3,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",4,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",5,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",6,Yea,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",7,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",8,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",9,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",10,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",11,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",12,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",13,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",14,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",15,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",16,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",17,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",18,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",19,Nay,Nay
Morgan Luttrell_profile.json,H.R. 4365,"Department of Defense Appropriations Act, 2024",20,Nay,Nay
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,1,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,2,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,3,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,4,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,5,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,6,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,7,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,8,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,9,Yea,Yea
Mike Levin_profile.json,H.R. 5574 (117th),TRANSLATE ACT,10,Yea,Yea
