Selected profile file,Bill Name,Personal Prediction,Real Result,Bill Number
Abigail Spanberger_profile.json,Data Mapping to Save Moms\u2019 Lives Act,Yea,Yea,H.R. 1218 (117th)
Abigail Spanberger_profile.json,American Rescue Plan Act of 2021,Yea,Yea,H.R. 1319 (117th)
Abigail Spanberger_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Yea,Yea,H.R. 6833 (117th)
Abigail Spanberger_profile.json,TRANQ Research Act of 2023,Yea,Yea,H.R. 1734
Abigail Spanberger_profile.json,Securing a Strong Retirement Act of 2021,Yea,Yea,H.R. 2954 (117th)
Abigail Spanberger_profile.json,Homicide Victims\u2019 Families\u2019 Rights Act of 2021,Yea,Yea,H.R. 3359 (117th)
Abigail Spanberger_profile.json,Save the Liberty Theatre Act of 2021,Nay,Yea,H.R. 3197 (117th)
Abigail Spanberger_profile.json,Modernizing Access to Our Public Land Act,Yea,Yea,H.R. 3113 (117th)
Abigail Spanberger_profile.json,American Rescue Plan Act of 2021,Yea,Yea,H.R. 1319 (117th)
Abigail Spanberger_profile.json,PRRADA,Yea,Yea,H.R. 1192 (117th)
Abigail Spanberger_profile.json,"Consolidated Appropriations Act, 2022",Yea,Yea,H.R. 2471 (117th)
Abigail Spanberger_profile.json,"Consolidated Appropriations Act, 2022",Yea,Yea,H.R. 2471 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.",Yea,Yea,H.R. 208 (117th)
Abigail Spanberger_profile.json,Emmett Till Antilynching Act,Yea,Yea,H.R. 55 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the \u201cAtanasio Taitano Perez Post Office\u201d.",Yea,Yea,H.R. 3539 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the \u201cArturo L. Ibleto Post Office Building\u201d.",Yea,Yea,H.R. 735 (117th)
Abigail Spanberger_profile.json,Postal Service Reform Act of 2022,Yea,Yea,H.R. 3076 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 2800 South Adams Street in Tallahassee, Florida, as the \u201cD. Edwina Stephens Post Office\u201d.",Yea,Yea,H.R. 2324 (117th)
Abigail Spanberger_profile.json,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,Yea,Yea,H.R. 335 (117th)
Abigail Spanberger_profile.json,Congressional Budget Justification Transparency Act of 2021,Yea,Yea,H.R. 22 (117th)
Abigail Spanberger_profile.json,Wounded Warrior Access Act,Yea,Yea,H.R. 1226
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the \u201cJohn R. Lewis Post Office Building\u201d.",Nay,Yea,H.R. 5577 (117th)
Abigail Spanberger_profile.json,NOTAM Improvement Act of 2023,Yea,Yea,H.R. 346
Adam Schiff_profile.json,VA Transparency & Trust Act of 2021,Nay,Yea,H.R. 2911 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the \u201cSpecialist Four Charles Johnson Post Office\u201d.",Yea,Yea,H.R. 92 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the \u201cPrivate First Class Barrett Lyle Austin Post Office Building\u201d.",Yea,Yea,H.R. 91 (117th)
Adam Schiff_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,Nay,Yea,H.R. 1096
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the \u201cVeterans of Iraq and Afghanistan Memorial Post Office Building\u201d.",Yea,Yea,H.R. 6386 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the \u201cLawrence M. \u2018Larry\u2019 Walsh Sr. Post Office\u201d.",Yea,Yea,H.R. 700 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",Nay,Yea,H.R. 5900 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the Vanessa Guill\u00e9n Post Office Building.",Yea,Yea,H.R. 224 (117th)
Adam Schiff_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Yea,Yea,H.R. 1437 (117th)
Adam Schiff_profile.json,Empowering the U.S. Fire Administration Act,Nay,Yea,H.R. 7077 (117th)
Adam Schiff_profile.json,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",Yea,Yea,H.R. 935 (117th)
Adam Schiff_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",Yea,Yea,H.R. 3672
Adam Schiff_profile.json,Ensuring Compliance Against Drug Diversion Act of 2021,Nay,Yea,H.R. 1899 (117th)
Adam Schiff_profile.json,Protecting Indian Tribes from Scams Act,Yea,Yea,H.R. 1762 (117th)
Adam Schiff_profile.json,DEBAR Act of 2021,Yea,Yea,H.R. 1002 (117th)
Adam Schiff_profile.json,TRANSPLANT Act of 2021,Yea,Yea,H.R. 941 (117th)
Adam Schiff_profile.json,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,Nay,Yea,H.R. 1460 (117th)
Adam Schiff_profile.json,Fraud and Scam Reduction Act,Yea,Yea,H.R. 1215 (117th)
Adam Schiff_profile.json,United States Anti-Doping Agency Reauthorization Act of 2021,Yea,Yea,H.R. 172 (117th)
Adam Schiff_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Adam Schiff_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Adam Schiff_profile.json,Fiscal Responsibility Act of 2023,Yea,Yea,H.R. 3746
Adam Schiff_profile.json,Ukraine Invasion War Crimes Deterrence and Accountability Act,Yea,Yea,H.R. 7276 (117th)
Adam Schiff_profile.json,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,Nay,Yea,H.R. 1652 (117th)
Adam Schiff_profile.json,"To award three congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Yea,Yea,H.R. 1085 (117th)
Adam Schiff_profile.json,COVID-19 Bankruptcy Relief Extension Act of 2021,Nay,Yea,H.R. 1651 (117th)
Adam Schiff_profile.json,PPP Extension Act of 2021,Yea,Yea,H.R. 1799 (117th)
Adam Schiff_profile.json,Data Mapping to Save Moms\u2019 Lives Act,Yea,Yea,H.R. 1218 (117th)
Adam Schiff_profile.json,American Rescue Plan Act of 2021,Yea,Yea,H.R. 1319 (117th)
Adam Schiff_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Yea,Yea,H.R. 6833 (117th)
Adam Schiff_profile.json,TRANQ Research Act of 2023,Yea,Yea,H.R. 1734
Adam Schiff_profile.json,Securing a Strong Retirement Act of 2021,Yea,Yea,H.R. 2954 (117th)
Adam Schiff_profile.json,Homicide Victims\u2019 Families\u2019 Rights Act of 2021,Yea,Yea,H.R. 3359 (117th)
Adam Schiff_profile.json,Save the Liberty Theatre Act of 2021,Yea,Yea,H.R. 3197 (117th)
Adam Schiff_profile.json,Modernizing Access to Our Public Land Act,Yea,Yea,H.R. 3113 (117th)
Adam Schiff_profile.json,American Rescue Plan Act of 2021,Yea,Yea,H.R. 1319 (117th)
Adam Schiff_profile.json,PRRADA,Yea,Yea,H.R. 1192 (117th)
Adam Schiff_profile.json,"Consolidated Appropriations Act, 2022",Yea,Yea,H.R. 2471 (117th)
Adam Schiff_profile.json,"Consolidated Appropriations Act, 2022",Yea,Yea,H.R. 2471 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.",Yea,Yea,H.R. 208 (117th)
Adam Schiff_profile.json,Emmett Till Antilynching Act,Yea,Yea,H.R. 55 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the \u201cAtanasio Taitano Perez Post Office\u201d.",Nay,Yea,H.R. 3539 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the \u201cArturo L. Ibleto Post Office Building\u201d.",Not Voting,Not Voting,H.R. 735 (117th)
Adam Schiff_profile.json,Postal Service Reform Act of 2022,Yea,Yea,H.R. 3076 (117th)
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 2800 South Adams Street in Tallahassee, Florida, as the \u201cD. Edwina Stephens Post Office\u201d.",Yea,Yea,H.R. 2324 (117th)
Adam Schiff_profile.json,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,Yea,Yea,H.R. 335 (117th)
Adam Schiff_profile.json,Congressional Budget Justification Transparency Act of 2021,Yea,Yea,H.R. 22 (117th)
Adam Schiff_profile.json,Wounded Warrior Access Act,Yea,Yea,H.R. 1226
Adam Schiff_profile.json,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the \u201cJohn R. Lewis Post Office Building\u201d.",Yea,Yea,H.R. 5577 (117th)
Adam Schiff_profile.json,NOTAM Improvement Act of 2023,Yea,Yea,H.R. 346
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the \u201cCW4 Christian J. Koch Memorial Post Office\u201d.",Yea,Yea,H.R. 3508 (117th)
Adrian Smith_profile.json,VA Transparency & Trust Act of 2021,Nay,Yea,H.R. 2911 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the \u201cSpecialist Four Charles Johnson Post Office\u201d.",Yea,Yea,H.R. 92 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the \u201cPrivate First Class Barrett Lyle Austin Post Office Building\u201d.",Yea,Yea,H.R. 91 (117th)
Adrian Smith_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,Not Voting,Not Voting,H.R. 1096
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the \u201cVeterans of Iraq and Afghanistan Memorial Post Office Building\u201d.",Yea,Yea,H.R. 6386 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the \u201cLawrence M. \u2018Larry\u2019 Walsh Sr. Post Office\u201d.",Yea,Yea,H.R. 700 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",Yea,Yea,H.R. 5900 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the Vanessa Guill\u00e9n Post Office Building.",Yea,Yea,H.R. 224 (117th)
Adrian Smith_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Yea,Yea,H.R. 1437 (117th)
Adrian Smith_profile.json,Empowering the U.S. Fire Administration Act,Nay,Yea,H.R. 7077 (117th)
Adrian Smith_profile.json,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",Yea,Yea,H.R. 935 (117th)
Adrian Smith_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",Yea,Yea,H.R. 3672
Adrian Smith_profile.json,Ensuring Compliance Against Drug Diversion Act of 2021,Yea,Yea,H.R. 1899 (117th)
Adrian Smith_profile.json,Protecting Indian Tribes from Scams Act,Nay,Yea,H.R. 1762 (117th)
Adrian Smith_profile.json,DEBAR Act of 2021,Nay,Yea,H.R. 1002 (117th)
Adrian Smith_profile.json,TRANSPLANT Act of 2021,Yea,Yea,H.R. 941 (117th)
Adrian Smith_profile.json,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,Yea,Yea,H.R. 1460 (117th)
Adrian Smith_profile.json,Fraud and Scam Reduction Act,Yea,Yea,H.R. 1215 (117th)
Adrian Smith_profile.json,United States Anti-Doping Agency Reauthorization Act of 2021,Yea,Yea,H.R. 172 (117th)
Adrian Smith_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Nay,Yea,H.R. 1868 (117th)
Adrian Smith_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Nay,H.R. 1868 (117th)
Adrian Smith_profile.json,Fiscal Responsibility Act of 2023,Yea,Yea,H.R. 3746
Adrian Smith_profile.json,Ukraine Invasion War Crimes Deterrence and Accountability Act,Yea,Yea,H.R. 7276 (117th)
Adrian Smith_profile.json,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,Yea,Yea,H.R. 1652 (117th)
Adrian Smith_profile.json,"To award three congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Yea,Yea,H.R. 1085 (117th)
Adrian Smith_profile.json,COVID-19 Bankruptcy Relief Extension Act of 2021,Nay,Yea,H.R. 1651 (117th)
Adrian Smith_profile.json,PPP Extension Act of 2021,Yea,Yea,H.R. 1799 (117th)
Adrian Smith_profile.json,Data Mapping to Save Moms\u2019 Lives Act,Yea,Yea,H.R. 1218 (117th)
Adrian Smith_profile.json,American Rescue Plan Act of 2021,Nay,Nay,H.R. 1319 (117th)
Adrian Smith_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Nay,Nay,H.R. 6833 (117th)
Adrian Smith_profile.json,TRANQ Research Act of 2023,Yea,Yea,H.R. 1734
Adrian Smith_profile.json,Securing a Strong Retirement Act of 2021,Yea,Yea,H.R. 2954 (117th)
Adrian Smith_profile.json,Homicide Victims\u2019 Families\u2019 Rights Act of 2021,Yea,Yea,H.R. 3359 (117th)
Adrian Smith_profile.json,Save the Liberty Theatre Act of 2021,Yea,Yea,H.R. 3197 (117th)
Adrian Smith_profile.json,Modernizing Access to Our Public Land Act,Nay,Yea,H.R. 3113 (117th)
Adrian Smith_profile.json,American Rescue Plan Act of 2021,Yea,Nay,H.R. 1319 (117th)
Adrian Smith_profile.json,PRRADA,Yea,Yea,H.R. 1192 (117th)
Adrian Smith_profile.json,"Consolidated Appropriations Act, 2022",Nay,Nay,H.R. 2471 (117th)
Adrian Smith_profile.json,"Consolidated Appropriations Act, 2022",Nay,Yea,H.R. 2471 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.",Yea,Yea,H.R. 208 (117th)
Adrian Smith_profile.json,Emmett Till Antilynching Act,Yea,Yea,H.R. 55 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the \u201cAtanasio Taitano Perez Post Office\u201d.",Yea,Yea,H.R. 3539 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the \u201cArturo L. Ibleto Post Office Building\u201d.",Yea,Yea,H.R. 735 (117th)
Adrian Smith_profile.json,Postal Service Reform Act of 2022,Nay,Nay,H.R. 3076 (117th)
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 2800 South Adams Street in Tallahassee, Florida, as the \u201cD. Edwina Stephens Post Office\u201d.",Yea,Yea,H.R. 2324 (117th)
Adrian Smith_profile.json,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,Yea,Yea,H.R. 335 (117th)
Adrian Smith_profile.json,Congressional Budget Justification Transparency Act of 2021,Nay,Yea,H.R. 22 (117th)
Adrian Smith_profile.json,Wounded Warrior Access Act,Nay,Yea,H.R. 1226
Adrian Smith_profile.json,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the \u201cJohn R. Lewis Post Office Building\u201d.",Yea,Yea,H.R. 5577 (117th)
Adrian Smith_profile.json,Disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act of 2022.,Yea,Yea,H.J.Res. 26
Adrian Smith_profile.json,"Relating to a national emergency declared by the President on March 13, 2020.",Yea,Yea,H.J.Res. 7
Adrian Smith_profile.json,NOTAM Improvement Act of 2023,Yea,Yea,H.R. 346
Adriano Espaillat_profile.json,VA Transparency & Trust Act of 2021,Yea,Yea,H.R. 2911 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the \u201cSpecialist Four Charles Johnson Post Office\u201d.",Yea,Yea,H.R. 92 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the \u201cPrivate First Class Barrett Lyle Austin Post Office Building\u201d.",Yea,Yea,H.R. 91 (117th)
Adriano Espaillat_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,Yea,Yea,H.R. 1096
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the \u201cVeterans of Iraq and Afghanistan Memorial Post Office Building\u201d.",Yea,Yea,H.R. 6386 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the \u201cLawrence M. \u2018Larry\u2019 Walsh Sr. Post Office\u201d.",Yea,Yea,H.R. 700 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",Yea,Yea,H.R. 5900 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the Vanessa Guill\u00e9n Post Office Building.",Yea,Yea,H.R. 224 (117th)
Adriano Espaillat_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Yea,Yea,H.R. 1437 (117th)
Adriano Espaillat_profile.json,Empowering the U.S. Fire Administration Act,Nay,Yea,H.R. 7077 (117th)
Adriano Espaillat_profile.json,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",Yea,Yea,H.R. 935 (117th)
Adriano Espaillat_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",Yea,Yea,H.R. 3672
Adriano Espaillat_profile.json,Ensuring Compliance Against Drug Diversion Act of 2021,Yea,Yea,H.R. 1899 (117th)
Adriano Espaillat_profile.json,Protecting Indian Tribes from Scams Act,Yea,Yea,H.R. 1762 (117th)
Adriano Espaillat_profile.json,DEBAR Act of 2021,Yea,Yea,H.R. 1002 (117th)
Adriano Espaillat_profile.json,TRANSPLANT Act of 2021,Yea,Yea,H.R. 941 (117th)
Adriano Espaillat_profile.json,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,Nay,Yea,H.R. 1460 (117th)
Adriano Espaillat_profile.json,Fraud and Scam Reduction Act,Not Voting,Not Voting,H.R. 1215 (117th)
Adriano Espaillat_profile.json,United States Anti-Doping Agency Reauthorization Act of 2021,Yea,Yea,H.R. 172 (117th)
Adriano Espaillat_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Adriano Espaillat_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Adriano Espaillat_profile.json,Fiscal Responsibility Act of 2023,No,No,H.R. 3746
Adriano Espaillat_profile.json,Ukraine Invasion War Crimes Deterrence and Accountability Act,Yea,Yea,H.R. 7276 (117th)
Adriano Espaillat_profile.json,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,Yea,Yea,H.R. 1652 (117th)
Adriano Espaillat_profile.json,"To award three congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Yea,Yea,H.R. 1085 (117th)
Adriano Espaillat_profile.json,COVID-19 Bankruptcy Relief Extension Act of 2021,Yea,Yea,H.R. 1651 (117th)
Adriano Espaillat_profile.json,PPP Extension Act of 2021,Yea,Yea,H.R. 1799 (117th)
Adriano Espaillat_profile.json,Data Mapping to Save Moms\u2019 Lives Act,Yea,Yea,H.R. 1218 (117th)
Adriano Espaillat_profile.json,American Rescue Plan Act of 2021,Yea,Yea,H.R. 1319 (117th)
Adriano Espaillat_profile.json,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023",Yea,Yea,H.R. 6833 (117th)
Adriano Espaillat_profile.json,TRANQ Research Act of 2023,Nay,Yea,H.R. 1734
Adriano Espaillat_profile.json,Securing a Strong Retirement Act of 2021,Yea,Yea,H.R. 2954 (117th)
Adriano Espaillat_profile.json,Homicide Victims\u2019 Families\u2019 Rights Act of 2021,Yea,Yea,H.R. 3359 (117th)
Adriano Espaillat_profile.json,Save the Liberty Theatre Act of 2021,Yea,Yea,H.R. 3197 (117th)
Adriano Espaillat_profile.json,Modernizing Access to Our Public Land Act,Yea,Yea,H.R. 3113 (117th)
Adriano Espaillat_profile.json,American Rescue Plan Act of 2021,Yea,Yea,H.R. 1319 (117th)
Adriano Espaillat_profile.json,PRRADA,Yea,Yea,H.R. 1192 (117th)
Adriano Espaillat_profile.json,"Consolidated Appropriations Act, 2022",Yea,Yea,H.R. 2471 (117th)
Adriano Espaillat_profile.json,"Consolidated Appropriations Act, 2022",Yea,Yea,H.R. 2471 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.",Nay,Nay,H.R. 208 (117th)
Adriano Espaillat_profile.json,Emmett Till Antilynching Act,Yea,Yea,H.R. 55 (117th)
Adriano Espaillat_profile.json,"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the \u201cAtanasio Taitano Perez Post Office\u201d.",Yea,Yea,H.R. 3539 (117th)
