Selected profile file,Bill Name,Bill Number,Personal Prediction,Real Result
Anna Paulina Luna_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Anna Paulina Luna_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Yea,Nay
Anna Paulina Luna_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Anna Paulina Luna_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Anna Paulina Luna_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Anna Paulina Luna_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Anthony D'Esposito_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Anthony D'Esposito_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Anthony D'Esposito_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Anthony D'Esposito_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Anthony D'Esposito_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Anthony D'Esposito_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Anthony D'Esposito_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Anthony D'Esposito_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Anthony D'Esposito_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Anthony D'Esposito_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Anthony D'Esposito_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Anthony D'Esposito_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Anthony D'Esposito_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Anthony D'Esposito_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Anthony D'Esposito_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Anthony D'Esposito_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Anthony D'Esposito_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Anthony D'Esposito_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Brad Finstad_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Brad Finstad_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Brad Finstad_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Brad Finstad_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Brad Finstad_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Brad Finstad_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Brad Finstad_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Brad Finstad_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Brad Finstad_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Brad Finstad_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Brad Finstad_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Brad Finstad_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Brad Finstad_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Brad Finstad_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Yea,Nay
Brad Finstad_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Brad Finstad_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Brandon Williams_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Brandon Williams_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Brandon Williams_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Brandon Williams_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Brandon Williams_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Brandon Williams_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Brandon Williams_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Brandon Williams_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Brandon Williams_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Brandon Williams_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Yea,Nay
Brandon Williams_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Brandon Williams_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Brandon Williams_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Brandon Williams_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Yea,Nay
Brandon Williams_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Brandon Williams_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Yea,Nay
Brandon Williams_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Brandon Williams_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Brittany Pettersen_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Brittany Pettersen_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Brittany Pettersen_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Brittany Pettersen_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Brittany Pettersen_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Brittany Pettersen_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Brittany Pettersen_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Nay,Yea
Brittany Pettersen_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Nay,Yea
Brittany Pettersen_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Brittany Pettersen_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Brittany Pettersen_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Nay,Yea
Brittany Pettersen_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Brittany Pettersen_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Brittany Pettersen_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Brittany Pettersen_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Brittany Pettersen_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Yea,Nay
Brittany Pettersen_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Brittany Pettersen_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Chris  Deluzio_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Chris  Deluzio_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Chris  Deluzio_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Yea,Nay
Chris  Deluzio_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Chris  Deluzio_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Chris  Deluzio_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Chris  Deluzio_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Chris  Deluzio_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Chris  Deluzio_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Chris  Deluzio_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Chris  Deluzio_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Chris  Deluzio_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Chris  Deluzio_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Chris  Deluzio_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Chris  Deluzio_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Chris  Deluzio_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Chris  Deluzio_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Chris  Deluzio_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Chris  Deluzio_profile.json,Fiscal Responsibility Act of 2023,H.R. 3746,Yea,Yea
Chris  Deluzio_profile.json,TRANQ Research Act of 2023,H.R. 1734,Yea,Yea
Chris  Deluzio_profile.json,Wounded Warrior Access Act,H.R. 1226,Yea,Yea
Chris  Deluzio_profile.json,NOTAM Improvement Act of 2023,H.R. 346,Yea,Yea
Cory Mills_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Cory Mills_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Cory Mills_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Cory Mills_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Cory Mills_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Cory Mills_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Cory Mills_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Cory Mills_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Cory Mills_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Cory Mills_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Cory Mills_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Cory Mills_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Cory Mills_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Cory Mills_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Yea,Nay
Cory Mills_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Cory Mills_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Cory Mills_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Cory Mills_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Dan  Goldman_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Dan  Goldman_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Dan  Goldman_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Dan  Goldman_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Dan  Goldman_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Dan  Goldman_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Dan  Goldman_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Dan  Goldman_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Dan  Goldman_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Yea,Nay
Dan  Goldman_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Dan  Goldman_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Dan  Goldman_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Dan  Goldman_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Dan  Goldman_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Dan  Goldman_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Dan  Goldman_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Dan  Goldman_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Dan  Goldman_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Dan  Goldman_profile.json,Fiscal Responsibility Act of 2023,H.R. 3746,Yea,Yea
Dan  Goldman_profile.json,TRANQ Research Act of 2023,H.R. 1734,Yea,Yea
Dan  Goldman_profile.json,Wounded Warrior Access Act,H.R. 1226,Yea,Yea
Dan  Goldman_profile.json,NOTAM Improvement Act of 2023,H.R. 346,Yea,Yea
Derrick Van Orden_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Derrick Van Orden_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Derrick Van Orden_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Derrick Van Orden_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Derrick Van Orden_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Derrick Van Orden_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Derrick Van Orden_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Derrick Van Orden_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Derrick Van Orden_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Derrick Van Orden_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Yea,Nay
Derrick Van Orden_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Derrick Van Orden_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Derrick Van Orden_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Derrick Van Orden_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Yea,Nay
Derrick Van Orden_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Derrick Van Orden_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Derrick Van Orden_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Derrick Van Orden_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Donald  Davis_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Donald  Davis_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Donald  Davis_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Yea,Nay
Donald  Davis_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Donald  Davis_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Donald  Davis_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Donald  Davis_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Donald  Davis_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Donald  Davis_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Donald  Davis_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Donald  Davis_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Donald  Davis_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Donald  Davis_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Donald  Davis_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Donald  Davis_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Donald  Davis_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Donald  Davis_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Donald  Davis_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Donald  Davis_profile.json,Fiscal Responsibility Act of 2023,H.R. 3746,Yea,Yea
Donald  Davis_profile.json,TRANQ Research Act of 2023,H.R. 1734,Yea,Yea
Donald  Davis_profile.json,Wounded Warrior Access Act,H.R. 1226,Yea,Yea
Donald  Davis_profile.json,NOTAM Improvement Act of 2023,H.R. 346,Yea,Yea
Eli Crane_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Eli Crane_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Eli Crane_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Eli Crane_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Eli Crane_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Eli Crane_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Eli Crane_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Eli Crane_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Eli Crane_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Eli Crane_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Nay,Nay
Eli Crane_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Eli Crane_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Eli Crane_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Eli Crane_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Eli Crane_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Eli Crane_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Yea,Nay
Eli Crane_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Eli Crane_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Emilia Sykes_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Emilia Sykes_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Emilia Sykes_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
