Bill Number,Bill Name,Summary,Status,Caucus,Committee
H.R. 2872,"Further Additional Continuing Appropriations and Other Extensions Act, 2024","This bill provides continuing FY2024 appropriations for federal agencies. The bill also extends several expiring programs and authorities, including several public health programs.DIVISION A--FURTHER ADDITIONAL CONTINUING APPROPRIATIONS ACT, 2024Further Additional Continuing Appropriations Act, 2024 (Sec. 101) This section provides continuing FY2024 appropriations for federal agencies. It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2024 appropriations bills have not been enacted when the existing CR expires.The CR provides funding through March 1, 2024, for agencies and programs that were funded in the following four FY2023 appropriations acts: the Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2023; the Energy and Water Development and Related Agencies Appropriations Act, 2023; the Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2023; and the Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2023. (Under the current CR, these agencies and programs are funded through January 19, 2024.)For most other federal agencies and programs, the CR provides funding through March 8, 2024. (Under the current CR, these agencies and programs are funded through February 2, 2024.)The CR generally funds most programs and activities at the FY2023 levels with several exceptions that provide funding flexibility and additional appropriations for various programs. For example, the CR includes exceptions for the National Nuclear Security Administration and the Federal Aviation Administration.In addition, the CR allows the Department of Defense to obligate specified funds from the Shipbuilding and Conversion, Navy account for the procurement of one Columbia Class Submarine.The CR also extends the authority for the U.S. Parole Commission.DIVISION B--OTHER MATTERS TITLE I--HEALTH AND HUMAN SERVICESSubtitle A--Public Health Extenders(Sec. 101) This section extends through March 8, 2024, funding for the Teaching Health Center Graduate Medical Education Program, the Community Health Center Fund, and the National Health Services Corps. (The program supports education and training of medical students in primary care residency programs in community-based ambulatory patient care centers. The fund supports (1) grants for outpatient health care facilities that serve medically underserved populations; and (2) the National Health Service Corps, which provides scholarships and student loan repayment awards to health care providers who agree to work in areas with health care provider shortages.)(Sec. 102) This section extends funding through March 8, 2024, for the Special Diabetes Program for Type I Diabetes and the Special Diabetes Program for Indians. (The Special Diabetes Program for Type I Diabetes supports research on the prevention and cure of Type I diabetes, and the Special Diabetes Program for Indians supports diabetes treatment and prevention for tribal populations.)(Sec. 103) This section extends through March 8, 2024, the authority that allows states and tribes to request the temporary reassignment of state and local health department personnel who are funded through certain federal programs to immediately address a public health emergency.It also extends through March 8, 2024, provisions that prohibit the disclosure of information about Department of Health and Human Services (HHS) programs that could compromise national security (e.g., information regarding biomedical threats).The section extends provisions that authorize HHS to engage with developers of medical countermeasures, and that provide for related antitrust exemptions, for the purpose of furthering product development.Additionally, the section extends through March 8, 2024, the National Advisory Committee on Children and Disasters, the National Advisory Committee on Seniors and Disasters, and the National Advisory Committee on Individuals with Disabilities and Disasters.It also extends through March 8, 2024, the authority of HHS to directly appoint candidates to positions within the National Disaster Medical System if HHS determines the number of personnel in the system is insufficient to address a public health emergency or potential public health emergency.(The National Disaster Medical System is a partnership between HHS, the Department of Defense, and other federal departments that responds to public health and other emergencies, including by deploying medical response teams.)Subtitle B--Medicaid(Sec. 121) This section delays reductions to Medicaid disproportionate-share hospital (DSH) allotments until March 9, 2024. (DSHs are hospitals that receive additional payments under Medicaid for treating a large share of low-income patients.)(Sec. 122) This section reduces the amount of funding available to the Medicaid Improvement Fund for activities relating to mechanized claims systems beginning in FY2028.Subtitle C--Medicare(Sec. 131) This section extends through March 8, 2024, certain minimum adjustments to the work geographic index with respect to payments for physician services under Medicare.(Sec. 132) This section reduces funding for the Medicare Improvement Fund.Subtitle D--Human Services(Sec. 141) This section funds through March 8, 2024, programs that support child welfare services and activities. Specifically, it funds the (1) Stephanie Tubbs Jones Child Welfare Service Program, which provides grants to states and Indian tribes to support preventive interventions and other activities to keep families together; and (2) the MaryLee Allen Promoting Safe and Stable Families Program, which supports efforts to prevent the unnecessary separation of children from their families, improve quality of care and services to children and their families, and ensure permanent living arrangements for children (e.g., parental reunification or adoption).(Sec. 142) This section extends funding through March 8, 2024, for the Sexual Risk Avoidance Education Program. This program supports projects to implement sexual risk avoidance education that teaches participants to voluntarily refrain from nonmarital sexual activities.(Sec. 143) This section extends funding through March 8, 2024, for the Personal Responsibility Education Program. This program provides grants to states to educate young people about abstinence and contraception for prevention of pregnancy and sexually transmitted infections. The program also supports pregnant and parenting youth TITLE II--COMPACTS(Sec. 201) This section extends through March 8, 2024, provisions that provide grants and other financial assistance to the Federated States of Micronesia and the Republic of the Marshall Islands.TITLE III--COUNTER-UAS AUTHORITIES(Sec. 301) This section extends through March 8, 2024, the authority of the Department of Homeland Security and the Department of Justice to take certain actions to mitigate a credible threat to certain facilities or assets from an unmanned aircraft system (UAS). These include certain facilities that are located in the United States and identified as high-risk and a potential target for unlawful UAS activity.TITLE IV--BUDGETARY EFFECTS(Sec. 401) This section exempts the budgetary effects of this division from (1) the Statutory Pay-As-You-Go Act of 2010 (PAYGO Act), (2) the Senate PAYGO rule, and (3) certain budget scorekeeping rules.",Enacted,Congressional Appropriations Committee,Appropriations
H.R. 6503,"Airport and Airway Extension Act of 2023, Part II","This bill temporarily extends specific Federal Aviation and Administration (FAA) programs and activities through March 8, 2024.For example, the bill extends the FAA Unmanned Aircraft Systems (UAS) pilot programs (e.g., the UAS Test Site Program and the UAS remote detection and identification pilot program), weather reporting programs, Remote Tower Pilot Program, and Essential Air Service Program. The bill also extends the authorization for the Airport Improvement Program (AIP). (This program provides grants for planning, development, and noise compatibility projects at or associated with certain public-use airports.)Further, the bill extends through March 8, 2024, the FAA's authority for expenditures from the Airport and Airway Trust Fund (AATF) and to collect various taxes and fees to fund the AATF, including taxes on aviation fuel and airline tickets. (The AATF is the primary funding source for all major FAA accounts that fund federal aviation programs, with the remainder coming from general fund appropriations.)",Enacted,Unmanned Systems Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 2670,National Defense Authorization Act for Fiscal Year 2024,,Enacted,National Defense Authorization Act Caucus,Defense
S. 2787,5G SALE Act,,Enacted,Congressional 5G and Beyond Caucus,"Cyber, Information Technologies and Innovation"
H.J.Res. 63,Providing for the appointment of Antoinette Bush as a citizen regent of the Board of Regents of the Smithsonian Institution.,,Enacted,Smithsonian Institution Caucus,"Commerce, Justice, Science and Related Agencies"
H.J.Res. 62,Providing for the reappointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.,,Enacted,Smithsonian Institution Caucus,"Commerce, Justice, Science and Related Agencies"
H.J.Res. 64,Providing for the reappointment of Roger W. Ferguson as a citizen regent of the Board of Regents of the Smithsonian Institution.,,Enacted,Smithsonian Institution Caucus,"Commerce, Justice, Science and Related Agencies"
S. 788,Duck Stamp Modernization Act of 2023,,Enacted,Congressional Wildlife Refuge Caucus,"Conservation, Research and Biotechnology"
H.R. 3315,National Guard and Reservists Debt Relief Extension Act of 2023,,Enacted,Congressional National Guard and Reservists Caucus,Defense
H.R. 1734,TRANQ Research Act of 2023,"This bill requires the National Institute of Standards and Technology (NIST) to support research and other activities related to identifying xylazine (a compound used in veterinary medicine as a nonopioid tranquilizer), novel synthetic opioids, and other new psychoactive substances.In particular, NIST must support basic measurement science and research; near-real time spectrometry capabilities (i.e., a technique for rapidly identifying the chemical composition of a substance); strategies and voluntary best practices for handling, transporting, and analyzing such substances; and collaboration with other government agencies, institutions of higher education, and the private sector to enhance relevant narcotic and opioid detection and analysis capabilities. Additionally, the Government Accountability Office must conduct a study on the capabilities of the federal government to detect, identify, and otherwise respond to threats of new psychoactive substances, such as xylazine.",Enacted,Congressional Caucus on Drug Policy,"Commerce, Justice, Science and Related Agencies"
S. 2747,A bill to amend the Federal Election Campaign Act of 1971 to extend the Administrative Fine Program for certain reporting violations.,,Enacted,Congressional Campaign Finance Reform Caucus,Financial Services and General Government
H.R. 6846,Connecting Oceania\u2019s Nations with Vanguard Exercises and National Empowerment Act of 2023,,Enacted,Congressional Asian Pacific American Caucus,Defense
S. 3547,CONVENE Act of 2023,,Enacted,Congressional Convenience Store Caucus,"Nutrition, Foreign Agriculture and Horticulture"
H.R. 6799,Intelligence Community Joint Duty Improvements Act,,Enacted,Intelligence Community Caucus,Intelligence and Special Operations
S. 3505,Defense Support for Cyber Emergencies Response Act of 2023,,Enacted,Congressional Cybersecurity Caucus,Defense
S. 3499,A bill to provide emergency acquisition authority for purposes of replenishing United States stockpiles.,,Enacted,Congressional Armed Services Caucus,Defense
S. 3504,Digital Defense Content Provenance Act of 2023,,Enacted,Congressional Digital Security Caucus,"Cyber, Information Technologies and Innovation"
S. 3495,"A bill to improve the classification and declassification of national security information, and for other purposes.",,Enacted,National Security Caucus,Intelligence and Special Operations
H.R. 6735,Fighter Force Preservation Act of 2023,"This bill requires the Department of the Air Force to develop and report on a long-term tactical fighter force structure, recapitalization, training, and sustainment plan for the active and reserve components of the Air Force. Such plan must be submitted in an unclassified form, but may contain a classified annex.",Enacted,Congressional Air Force Caucus,Defense
H.R. 6752,"To require prompt reporting of any incident in which the Armed Forces are involved in an attack or hostilities, and for other purposes.","This bill requires the President to transmit a report to Congress within 48 hours after any incident in which the Armed Forces are involved in an attack or hostilities, except in certain circumstances as provided under the War Powers Resolution. The report must contain specified elements, including the authority or authorities under which the Armed Forces were operating when the incident occurred.",Enacted,Congressional Armed Services Caucus,Defense
H.R. 6738,Strategic Defense Fellows Program Act of 2023,,Enacted,Air Cargo Caucus,Defense
H.R. 6767,Transnational Fentanyl Prevention Act,,Enacted,Congressional Fentanyl Prevention Caucus,Homeland Security
H.R. 6737,Air Force Future Force Design Act of 2023,,Enacted,Congressional Air Force Caucus,Defense
H.R. 6669,Supporting Americans Wrongfully or Unlawfully Detained Abroad Act,,Enacted,Americans Abroad Caucus,"State, Foreign Operations and Related Programs"
H.R. 5718,Nuclear Fuel Security Act of 2023,,Enacted,Congressional Nuclear Security Working Group,Energy and Water Development and Related Agencies
H.R. 6714,"To provide remote access to court proceedings for victims of the 1988 Bombing of Pan Am Flight 103 over Lockerbie, Scotland.",,Enacted,Congressional Victims of Terrorism Caucus,Homeland Security
H.R. 5677,5G SALE Act,"This bill temporarily authorizes the Federal Communications Commission (FCC) to process applications for licenses or permits for the use of specified bands of the electromagnetic spectrum that were auctioned on or before March 9, 2023. The authorization terminates 90 days after the enactment of the bill.The FCC has not processed the licenses or permits for the previously auctioned spectrum because its authority to conduct auctions lapsed on March 9, 2023.",Enacted,Congressional Spectrum Caucus,"Commerce, Justice, Science and Related Agencies"
S. 3328,National Guard and Reservists Debt Relief Extension Act of 2023,,Enacted,Congressional National Guard and Reserve Component Caucus,Defense
S. 3339,DAARE Act,,Enacted,Agriculture Research Caucus,"Commodity Markets, Digital Assets and Rural Development"
H.R. 6070,"To amend the Military Lands Withdrawal Act of 1999 to clarify the authority of Department of Defense to conduct certain military activities at the Nevada test and training range, and for other purposes.",,Enacted,Range and Testing Center Caucus,Defense
